,Headline,Target
31,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
32,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
33,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
34,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
35,NASA photos of the moon and Earth show that “space is fake.”,false
36,The entire banking system in Canada is closing down.,false
37,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
38,"""Plankton in the Atlantic Ocean is 90% gone.""",false
39,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
40,Germany weather maps show media exaggerating effects of climate change.,false
41,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
42,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
43,"Val Demings ""called abolishing the police 'thoughtful.'""",false
44,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
45,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
46,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
47,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
48,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
49,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
50,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
51,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
52,"A cure for cancer, known as a Rife machine, was found in 1934.",false
53,Baby carrots are soaked in bleach and can cause cancer.,false
54,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
55,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
56,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
57,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
58,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
59,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
60,NASA photos of the moon and Earth show that “space is fake.”,false
61,The entire banking system in Canada is closing down.,false
62,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
63,"""Plankton in the Atlantic Ocean is 90% gone.""",false
64,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
65,Germany weather maps show media exaggerating effects of climate change.,false
66,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
67,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
68,"Val Demings ""called abolishing the police 'thoughtful.'""",false
69,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
70,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
71,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
72,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
73,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
74,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
75,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
76,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
77,"A cure for cancer, known as a Rife machine, was found in 1934.",false
78,Baby carrots are soaked in bleach and can cause cancer.,false
79,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
80,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
81,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
82,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
83,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
84,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
85,NASA photos of the moon and Earth show that “space is fake.”,false
86,The entire banking system in Canada is closing down.,false
87,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
88,"""Plankton in the Atlantic Ocean is 90% gone.""",false
89,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
90,Germany weather maps show media exaggerating effects of climate change.,false
91,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
92,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
93,"Val Demings ""called abolishing the police 'thoughtful.'""",false
94,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
95,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
96,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
97,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
98,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
99,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
100,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
101,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
102,"A cure for cancer, known as a Rife machine, was found in 1934.",false
103,Baby carrots are soaked in bleach and can cause cancer.,false
104,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
105,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
106,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
107,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
108,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
109,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
110,NASA photos of the moon and Earth show that “space is fake.”,false
111,The entire banking system in Canada is closing down.,false
112,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
113,"""Plankton in the Atlantic Ocean is 90% gone.""",false
114,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
115,Germany weather maps show media exaggerating effects of climate change.,false
116,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
117,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
118,"Val Demings ""called abolishing the police 'thoughtful.'""",false
119,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
120,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
121,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
122,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
123,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
124,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
125,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
126,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
127,"A cure for cancer, known as a Rife machine, was found in 1934.",false
128,Baby carrots are soaked in bleach and can cause cancer.,false
129,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
130,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
131,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
132,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
133,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
134,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
135,NASA photos of the moon and Earth show that “space is fake.”,false
136,The entire banking system in Canada is closing down.,false
137,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
138,"""Plankton in the Atlantic Ocean is 90% gone.""",false
139,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
140,Germany weather maps show media exaggerating effects of climate change.,false
141,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
142,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
143,"Val Demings ""called abolishing the police 'thoughtful.'""",false
144,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
145,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
146,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
147,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
148,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
149,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
150,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
151,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
152,"A cure for cancer, known as a Rife machine, was found in 1934.",false
153,Baby carrots are soaked in bleach and can cause cancer.,false
154,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
155,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
156,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
157,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
158,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
159,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
160,NASA photos of the moon and Earth show that “space is fake.”,false
161,The entire banking system in Canada is closing down.,false
162,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
163,"""Plankton in the Atlantic Ocean is 90% gone.""",false
164,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
165,Germany weather maps show media exaggerating effects of climate change.,false
166,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
167,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
168,"Val Demings ""called abolishing the police 'thoughtful.'""",false
169,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
170,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
171,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
172,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
173,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
174,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
175,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
176,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
177,"A cure for cancer, known as a Rife machine, was found in 1934.",false
178,Baby carrots are soaked in bleach and can cause cancer.,false
179,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
180,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
181,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
182,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
183,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
184,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
185,NASA photos of the moon and Earth show that “space is fake.”,false
186,The entire banking system in Canada is closing down.,false
187,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
188,"""Plankton in the Atlantic Ocean is 90% gone.""",false
189,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
190,Germany weather maps show media exaggerating effects of climate change.,false
191,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
192,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
193,"Val Demings ""called abolishing the police 'thoughtful.'""",false
194,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
195,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
196,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
197,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
198,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
199,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
200,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
201,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
202,"A cure for cancer, known as a Rife machine, was found in 1934.",false
203,Baby carrots are soaked in bleach and can cause cancer.,false
204,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
205,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
206,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
207,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
208,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
209,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
210,NASA photos of the moon and Earth show that “space is fake.”,false
211,The entire banking system in Canada is closing down.,false
212,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
213,"""Plankton in the Atlantic Ocean is 90% gone.""",false
214,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
215,Germany weather maps show media exaggerating effects of climate change.,false
216,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
217,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
218,"Val Demings ""called abolishing the police 'thoughtful.'""",false
219,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
220,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
221,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
222,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
223,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
224,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
225,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
226,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
227,"A cure for cancer, known as a Rife machine, was found in 1934.",false
228,Baby carrots are soaked in bleach and can cause cancer.,false
229,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
230,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
231,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
232,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
233,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
234,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
235,NASA photos of the moon and Earth show that “space is fake.”,false
236,The entire banking system in Canada is closing down.,false
237,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
238,"""Plankton in the Atlantic Ocean is 90% gone.""",false
239,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
240,Germany weather maps show media exaggerating effects of climate change.,false
241,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
242,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
243,"Val Demings ""called abolishing the police 'thoughtful.'""",false
244,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
245,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
246,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
247,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
248,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
249,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
250,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
251,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
252,"A cure for cancer, known as a Rife machine, was found in 1934.",false
253,Baby carrots are soaked in bleach and can cause cancer.,false
254,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
255,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
256,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
257,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
258,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
259,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
260,NASA photos of the moon and Earth show that “space is fake.”,false
261,The entire banking system in Canada is closing down.,false
262,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
263,"""Plankton in the Atlantic Ocean is 90% gone.""",false
264,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
265,Germany weather maps show media exaggerating effects of climate change.,false
266,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
267,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
268,"Val Demings ""called abolishing the police 'thoughtful.'""",false
269,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
270,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
271,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
272,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
273,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
274,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
275,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
276,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
277,"A cure for cancer, known as a Rife machine, was found in 1934.",false
278,Baby carrots are soaked in bleach and can cause cancer.,false
279,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
280,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
281,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
282,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
283,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
284,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
285,NASA photos of the moon and Earth show that “space is fake.”,false
286,The entire banking system in Canada is closing down.,false
287,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
288,"""Plankton in the Atlantic Ocean is 90% gone.""",false
289,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
290,Germany weather maps show media exaggerating effects of climate change.,false
291,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
292,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
293,"Val Demings ""called abolishing the police 'thoughtful.'""",false
294,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
295,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
296,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
297,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
298,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
299,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
300,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
301,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
302,"A cure for cancer, known as a Rife machine, was found in 1934.",false
303,Baby carrots are soaked in bleach and can cause cancer.,false
304,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
305,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
306,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
307,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
308,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
309,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
310,NASA photos of the moon and Earth show that “space is fake.”,false
311,The entire banking system in Canada is closing down.,false
312,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
313,"""Plankton in the Atlantic Ocean is 90% gone.""",false
314,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
315,Germany weather maps show media exaggerating effects of climate change.,false
316,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
317,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
318,"Val Demings ""called abolishing the police 'thoughtful.'""",false
